Magic_Item_ID	Type	Rarity	Roll_Min	Roll_Max	Item	Decision_Type	Info_1	Info_2	Active
magic:arcana:common:potion-of-climbing	Arcana	Common	50.0	52.0	Potion of Climbing	none			true
magic:arcana:common:potion-of-comprehension	Arcana	Common	53.0	55.0	Potion of Comprehension	none			true
magic:arcana:common:pot-of-awakening	Arcana	Common	56.0	58.0	Pot of Awakening	none			true
magic:arcana:common:prosthetic-limb	Arcana	Common	59.0	60.0	Prosthetic Limb	none			true
magic:arcana:common:rival-coin	Arcana	Common	61.0	64.0	Rival Coin	none			true
magic:arcana:common:rope-of-mending	Arcana	Common	65.0	66.0	Rope of Mending	none			true
magic:arcana:common:ruby-of-the-war-mage	Arcana	Common	67.0	68.0	Ruby of the War Mage	none			true
magic:arcana:common:spell-scroll	Arcana	Common	69.0	82.0	Spell Scroll	spell_level		1.0	true
magic:arcana:common:staff-of-adornment	Arcana	Common	83.0	84.0	Staff of Adornment	none			true
magic:arcana:common:staff-of-birdcalls	Arcana	Common	85.0	86.0	Staff of Birdcalls	none			true
magic:arcana:common:staff-of-flowers	Arcana	Common	87.0	89.0	Staff of Flowers	none			true
magic:arcana:common:talking-doll	Arcana	Common	90.0	92.0	Talking Doll	none			true
magic:arcana:common:tankard-of-sobriety	Arcana	Common	93.0	94.0	Tankard of Sobriety	none			true
magic:arcana:common:wand-of-conducting	Arcana	Common	95.0	97.0	Wand of Conducting	none			true
magic:arcana:common:wand-of-pyrotechnics	Arcana	Common	98.0	100.0	Wand of Pyrotechnics	none			true
magic:arcana:uncommon:amulet-of-proof-against-detection-and-location	Arcana	Uncommon	1.0	1.0	Amulet of Proof against Detection and Location	none			true
magic:arcana:uncommon:baba-yaga-s-dancing-broom	Arcana	Uncommon	2.0	2.0	Baba Yaga’s Dancing Broom	none			true
magic:arcana:uncommon:bag-of-holding	Arcana	Uncommon	3.0	5.0	Bag of Holding	none			true
magic:arcana:uncommon:bag-of-tricks	Arcana	Uncommon	6.0	7.0	Bag of Tricks	none			true
magic:arcana:uncommon:brooch-of-shielding	Arcana	Uncommon	8.0	8.0	Brooch of Shielding	none			true
magic:arcana:uncommon:broom-of-flying	Arcana	Uncommon	9.0	9.0	Broom of Flying	none			true
magic:arcana:uncommon:cap-of-water-breathing	Arcana	Uncommon	10.0	10.0	Cap of Water Breathing	none			true
magic:arcana:uncommon:circlet-of-blasting	Arcana	Uncommon	11.0	11.0	Circlet of Blasting	none			true
magic:arcana:uncommon:cloak-of-protection	Arcana	Uncommon	12.0	13.0	Cloak of Protection	none			true
magic:arcana:uncommon:cloak-of-the-manta-ray	Arcana	Uncommon	14.0	14.0	Cloak of the Manta Ray	none			true
magic:arcana:uncommon:decanter-of-endless-water	Arcana	Uncommon	15.0	15.0	Decanter of Endless Water	none			true
magic:arcana:uncommon:deck-of-illusions	Arcana	Uncommon	16.0	16.0	Deck of Illusions	none			true
magic:arcana:uncommon:driftglobe	Arcana	Uncommon	17.0	18.0	Driftglobe	none			true
magic:arcana:uncommon:dust-of-disappearance	Arcana	Uncommon	19.0	20.0	Dust of Disappearance	none			true
magic:arcana:uncommon:dust-of-dryness	Arcana	Uncommon	21.0	21.0	Dust of Dryness	none			true
magic:arcana:uncommon:dust-of-sneezing-and-choking	Arcana	Uncommon	22.0	22.0	Dust of Sneezing and Choking	none			true
magic:arcana:uncommon:elemental-gem	Arcana	Uncommon	23.0	24.0	Elemental Gem	none			true
magic:arcana:uncommon:enspelled-staff	Arcana	Uncommon	25.0	25.0	Enspelled Staff	enspelled_item	staff		true
magic:arcana:uncommon:eversmoking-bottle	Arcana	Uncommon	26.0	26.0	Eversmoking Bottle	none			true
magic:arcana:uncommon:eyes-of-charming	Arcana	Uncommon	27.0	27.0	Eyes of Charming	none			true
magic:arcana:uncommon:eyes-of-minute-seeing	Arcana	Uncommon	28.0	28.0	Eyes of Minute Seeing	none			true
magic:arcana:uncommon:figurine-of-wondrous-power	Arcana	Uncommon	29.0	30.0	Figurine of Wondrous Power	fixed_variant	silver raven		true
magic:arcana:uncommon:gem-of-brightness	Arcana	Uncommon	31.0	31.0	Gem of Brightness	none			true
magic:arcana:uncommon:hag-eye	Arcana	Uncommon	32.0	32.0	Hag Eye	none			true
magic:arcana:uncommon:hat-of-disguise	Arcana	Uncommon	33.0	33.0	Hat of Disguise	none			true
magic:arcana:uncommon:headband-of-intellect	Arcana	Uncommon	34.0	34.0	Headband of Intellect	none			true
magic:arcana:uncommon:helm-of-comprehending-languages	Arcana	Uncommon	35.0	35.0	Helm of Comprehending Languages	none			true
magic:arcana:uncommon:helm-of-telepathy	Arcana	Uncommon	36.0	36.0	Helm of Telepathy	none			true
magic:arcana:uncommon:immovable-rod	Arcana	Uncommon	37.0	37.0	Immovable Rod	none			true
magic:arcana:uncommon:lantern-of-revealing	Arcana	Uncommon	38.0	38.0	Lantern of Revealing	none			true
magic:arcana:uncommon:medallion-of-thoughts	Arcana	Uncommon	39.0	39.0	Medallion of Thoughts	none			true
magic:arcana:uncommon:mithral-armor	Arcana	Uncommon	40.0	40.0	Mithral Armor	none			true
magic:arcana:uncommon:necklace-of-adaptation	Arcana	Uncommon	41.0	42.0	Necklace of Adaptation	none			true
magic:arcana:uncommon:oil-of-slipperiness	Arcana	Uncommon	43.0	43.0	Oil of Slipperiness	none			true
magic:arcana:uncommon:pearl-of-power	Arcana	Uncommon	44.0	44.0	Pearl of Power	none			true
magic:arcana:uncommon:periapt-of-health	Arcana	Uncommon	45.0	45.0	Periapt of Health	none			true
magic:arcana:uncommon:philter-of-love	Arcana	Uncommon	46.0	47.0	Philter of Love	none			true
magic:arcana:uncommon:potion-of-animal-friendship	Arcana	Uncommon	48.0	49.0	Potion of Animal Friendship	none			true
magic:arcana:uncommon:potion-of-fire-breath	Arcana	Uncommon	50.0	51.0	Potion of Fire Breath	none			true
magic:arcana:uncommon:potion-of-giant-strength	Arcana	Uncommon	52.0	53.0	Potion of Giant Strength	fixed_variant	hill		true
magic:arcana:uncommon:potion-of-growth	Arcana	Uncommon	54.0	55.0	Potion of Growth	none			true
magic:arcana:uncommon:potion-of-poison	Arcana	Uncommon	56.0	57.0	Potion of Poison	none			true
magic:arcana:uncommon:potion-of-resistance	Arcana	Uncommon	58.0	59.0	Potion of Resistance	none			true
magic:arcana:uncommon:potion-of-water-breathing	Arcana	Uncommon	60.0	61.0	Potion of Water Breathing	none			true
magic:arcana:uncommon:quaal-s-feather-token	Arcana	Uncommon	62.0	62.0	Quaal’s Feather Token	variant_group	feather_basic		true
magic:arcana:uncommon:ring-of-mind-shielding	Arcana	Uncommon	63.0	63.0	Ring of Mind Shielding	none			true
magic:arcana:uncommon:robe-of-useful-items	Arcana	Uncommon	64.0	65.0	Robe of Useful Items	none			true
magic:arcana:uncommon:rod-of-the-pact-keeper	Arcana	Uncommon	66.0	67.0	Rod of the Pact Keeper	none			true
magic:arcana:uncommon:rope-of-climbing	Arcana	Uncommon	68.0	69.0	Rope of Climbing	none			true
magic:arcana:uncommon:saddle-of-the-cavalier	Arcana	Uncommon	70.0	70.0	Saddle of the Cavalier	none			true
magic:arcana:uncommon:sending-stones	Arcana	Uncommon	71.0	72.0	Sending Stones	none			true
magic:arcana:uncommon:slippers-of-spider-climbing	Arcana	Uncommon	73.0	74.0	Slippers of Spider Climbing	none			true
magic:arcana:uncommon:spell-scroll	Arcana	Uncommon	75.0	82.0	Spell Scroll	spell_level	2.0	3.0	true
magic:arcana:uncommon:staff-of-the-adder	Arcana	Uncommon	83.0	83.0	Staff of the Adder	none			true
magic:arcana:uncommon:staff-of-the-python	Arcana	Uncommon	84.0	84.0	Staff of the Python	none			true
magic:arcana:uncommon:wand-of-magic-detection	Arcana	Uncommon	85.0	88.0	Wand of Magic Detection	none			true
magic:arcana:uncommon:wand-of-magic-missiles	Arcana	Uncommon	89.0	91.0	Wand of Magic Missiles	none			true
magic:arcana:uncommon:wand-of-secrets	Arcana	Uncommon	92.0	93.0	Wand of Secrets	none			true
magic:arcana:uncommon:wand-of-the-war-mage-1	Arcana	Uncommon	94.0	95.0	Wand of the War Mage, +1	none			true
magic:arcana:uncommon:wand-of-web	Arcana	Uncommon	96.0	97.0	Wand of Web	none			true
magic:arcana:uncommon:wind-fan	Arcana	Uncommon	98.0	99.0	Wind Fan	none			true
magic:arcana:uncommon:winged-boots	Arcana	Uncommon	100.0	100.0	Winged Boots	none			true
magic:arcana:rare:bag-of-beans	Arcana	Rare	1.0	1.0	Bag of Beans	none			true
magic:arcana:rare:bead-of-force	Arcana	Rare	2.0	3.0	Bead of Force	none			true
magic:arcana:rare:bowl-of-commanding-water-elementals	Arcana	Rare	4.0	4.0	Bowl of Commanding Water Elementals	none			true
magic:arcana:rare:bracers-of-defense	Arcana	Rare	5.0	6.0	Bracers of Defense	none			true
magic:arcana:rare:brazier-of-commanding-fire-elementals	Arcana	Rare	7.0	7.0	Brazier of Commanding Fire Elementals	none			true
magic:arcana:rare:cape-of-the-mountebank	Arcana	Rare	8.0	9.0	Cape of the Mountebank	none			true
magic:arcana:rare:censer-of-controlling-air-elementals	Arcana	Rare	10.0	10.0	Censer of Controlling Air Elementals	none			true
magic:arcana:rare:chime-of-opening	Arcana	Rare	11.0	12.0	Chime of Opening	none			true
magic:arcana:rare:cloak-of-displacement	Arcana	Rare	13.0	14.0	Cloak of Displacement	none			true
magic:arcana:rare:cloak-of-the-bat	Arcana	Rare	15.0	16.0	Cloak of the Bat	none			true
magic:arcana:rare:cube-of-force	Arcana	Rare	17.0	17.0	Cube of Force	none			true
magic:arcana:rare:cube-of-summoning	Arcana	Rare	18.0	18.0	Cube of Summoning	none			true
magic:arcana:rare:daern-s-instant-fortress	Arcana	Rare	19.0	19.0	Daern’s Instant Fortress	none			true
magic:arcana:rare:enspelled-staff	Arcana	Rare	20.0	21.0	Enspelled Staff	enspelled_item	staff		true
magic:arcana:rare:figurine-of-wondrous-power	Arcana	Rare	22.0	23.0	Figurine of Wondrous Power	variant_group	figurine_rare		true
magic:arcana:rare:folding-boat	Arcana	Rare	24.0	25.0	Folding Boat	none			true
magic:arcana:rare:gem-of-seeing	Arcana	Rare	26.0	27.0	Gem of Seeing	none			true
magic:arcana:rare:helm-of-teleportation	Arcana	Rare	28.0	28.0	Helm of Teleportation	none			true
magic:arcana:rare:heward-s-handy-haversack	Arcana	Rare	29.0	30.0	Heward’s Handy Haversack	none			true
magic:arcana:rare:horseshoes-of-speed	Arcana	Rare	31.0	32.0	Horseshoes of Speed	none			true
magic:arcana:rare:ioun-stone	Arcana	Rare	33.0	34.0	Ioun Stone	fixed_variant	reserve		true
magic:arcana:rare:iron-bands-of-bilarro	Arcana	Rare	35.0	35.0	Iron Bands of Bilarro	none			true
magic:arcana:rare:mantle-of-spell-resistance	Arcana	Rare	36.0	36.0	Mantle of Spell Resistance	none			true
magic:arcana:rare:necklace-of-fireballs	Arcana	Rare	37.0	38.0	Necklace of Fireballs	none			true
magic:arcana:rare:oil-of-etherealness	Arcana	Rare	39.0	39.0	Oil of Etherealness	none			true
magic:arcana:rare:portable-hole	Arcana	Rare	40.0	40.0	Portable Hole	none			true
magic:arcana:rare:potion-of-clairvoyance	Arcana	Rare	41.0	42.0	Potion of Clairvoyance	none			true
magic:arcana:rare:potion-of-diminution	Arcana	Rare	43.0	44.0	Potion of Diminution	none			true
magic:arcana:rare:potion-of-gaseous-form	Arcana	Rare	45.0	46.0	Potion of Gaseous Form	none			true
magic:arcana:rare:potion-of-giant-strength	Arcana	Rare	47.0	47.0	Potion of Giant Strength	fixed_variant	fire		true
magic:arcana:rare:potion-of-giant-strength:2	Arcana	Rare	48.0	49.0	Potion of Giant Strength	variant_group	giant_potion_frost_stone		true
magic:arcana:rare:potion-of-heroism	Arcana	Rare	50.0	51.0	Potion of Heroism	none			true
magic:arcana:rare:potion-of-invisibility	Arcana	Rare	52.0	53.0	Potion of Invisibility	none			true
magic:arcana:rare:potion-of-invulnerability	Arcana	Rare	54.0	55.0	Potion of Invulnerability	none			true
magic:arcana:rare:potion-of-mind-reading	Arcana	Rare	56.0	57.0	Potion of Mind Reading	none			true
magic:arcana:rare:quaal-s-feather-token	Arcana	Rare	58.0	59.0	Quaal’s Feather Token	variant_group	feather_rare		true
magic:arcana:rare:ring-of-feather-falling	Arcana	Rare	60.0	61.0	Ring of Feather Falling	none			true
magic:arcana:rare:ring-of-spell-storing	Arcana	Rare	62.0	62.0	Ring of Spell Storing	none			true
magic:arcana:rare:ring-of-x-ray-vision	Arcana	Rare	63.0	63.0	Ring of X-ray Vision	none			true
magic:arcana:rare:robe-of-eyes	Arcana	Rare	64.0	65.0	Robe of Eyes	none			true
magic:arcana:rare:rod-of-rulership	Arcana	Rare	66.0	66.0	Rod of Rulership	none			true
magic:arcana:rare:rod-of-the-pact-keeper-2	Arcana	Rare	67.0	68.0	Rod of the Pact Keeper, +2	none			true
magic:arcana:rare:scroll-of-protection	Arcana	Rare	69.0	70.0	Scroll of Protection	none			true
magic:arcana:rare:spell-scroll	Arcana	Rare	71.0	75.0	Spell Scroll	spell_level	4.0	5.0	true
magic:arcana:rare:staff-of-charming	Arcana	Rare	76.0	77.0	Staff of Charming	none			true
magic:arcana:rare:staff-of-swarming-insects	Arcana	Rare	78.0	79.0	Staff of Swarming Insects	none			true
magic:arcana:rare:staff-of-withering	Arcana	Rare	80.0	81.0	Staff of Withering	none			true
magic:arcana:rare:stone-of-controlling-earth-elementals	Arcana	Rare	82.0	82.0	Stone of Controlling Earth Elementals	none			true
magic:arcana:rare:wand-of-binding	Arcana	Rare	83.0	84.0	Wand of Binding	none			true
magic:arcana:rare:wand-of-fear	Arcana	Rare	85.0	86.0	Wand of Fear	none			true
magic:arcana:rare:wand-of-fireballs	Arcana	Rare	87.0	90.0	Wand of Fireballs	none			true
magic:arcana:rare:wand-of-lightning-bolts	Arcana	Rare	91.0	94.0	Wand of Lightning Bolts	none			true
magic:arcana:rare:wand-of-the-war-mage-2	Arcana	Rare	95.0	96.0	Wand of the War Mage, +2	none			true
magic:arcana:rare:wand-of-wonder	Arcana	Rare	97.0	98.0	Wand of Wonder	none			true
magic:arcana:rare:wings-of-flying	Arcana	Rare	99.0	100.0	Wings of Flying	none			true
magic:arcana:very-rare:amulet-of-the-planes	Arcana	Very Rare	1.0	2.0	Amulet of the Planes	none			true
magic:arcana:very-rare:bag-of-devouring	Arcana	Very Rare	3.0	4.0	Bag of Devouring	none			true
magic:arcana:very-rare:carpet-of-flying	Arcana	Very Rare	5.0	6.0	Carpet of Flying	none			true
magic:arcana:very-rare:cauldron-of-rebirth	Arcana	Very Rare	7.0	8.0	Cauldron of Rebirth	none			true
magic:arcana:very-rare:cloak-of-arachnida	Arcana	Very Rare	9.0	10.0	Cloak of Arachnida	none			true
magic:arcana:very-rare:crystal-ball	Arcana	Very Rare	11.0	12.0	Crystal Ball	none			true
magic:arcana:very-rare:dancing-sword	Arcana	Very Rare	13.0	13.0	Dancing Sword	none			true
magic:arcana:very-rare:efreeti-bottle	Arcana	Very Rare	14.0	14.0	Efreeti Bottle	none			true
magic:arcana:very-rare:enspelled-staff	Arcana	Very Rare	15.0	16.0	Enspelled Staff	enspelled_item	staff		true
magic:arcana:very-rare:figurine-of-wondrous-power	Arcana	Very Rare	17.0	18.0	Figurine of Wondrous Power	fixed_variant	obsidian steed		true
magic:arcana:very-rare:hat-of-many-spells	Arcana	Very Rare	19.0	20.0	Hat of Many Spells	none			true
magic:arcana:very-rare:helm-of-brilliance	Arcana	Very Rare	21.0	22.0	Helm of Brilliance	none			true
magic:arcana:very-rare:horseshoes-of-a-zephyr	Arcana	Very Rare	23.0	24.0	Horseshoes of a Zephyr	none			true
magic:arcana:very-rare:ioun-stone	Arcana	Very Rare	25.0	26.0	Ioun Stone	variant_group	ioun_very_rare		true
magic:arcana:very-rare:manual-of-golems	Arcana	Very Rare	27.0	28.0	Manual of Golems	variant_group	golem_manual		true
magic:arcana:very-rare:mirror-of-life-trapping	Arcana	Very Rare	29.0	29.0	Mirror of Life Trapping	none			true
magic:arcana:very-rare:nolzur-s-marvelous-pigments	Arcana	Very Rare	30.0	31.0	Nolzur’s Marvelous Pigments	none			true
magic:arcana:very-rare:oil-of-sharpness	Arcana	Very Rare	32.0	34.0	Oil of Sharpness	none			true
magic:arcana:very-rare:potion-of-flying	Arcana	Very Rare	35.0	38.0	Potion of Flying	none			true
magic:arcana:very-rare:potion-of-giant-strength	Arcana	Very Rare	39.0	42.0	Potion of Giant Strength	fixed_variant	cloud		true
magic:arcana:very-rare:potion-of-greater-invisibility	Arcana	Very Rare	43.0	46.0	Potion of Greater Invisibility	none			true
magic:arcana:very-rare:potion-of-longevity	Arcana	Very Rare	47.0	49.0	Potion of Longevity	none			true
magic:arcana:very-rare:potion-of-speed	Arcana	Very Rare	50.0	53.0	Potion of Speed	none			true
magic:arcana:very-rare:potion-of-vitality	Arcana	Very Rare	54.0	57.0	Potion of Vitality	none			true
magic:arcana:very-rare:ring-of-regeneration	Arcana	Very Rare	58.0	59.0	Ring of Regeneration	none			true
magic:arcana:very-rare:ring-of-shooting-stars	Arcana	Very Rare	60.0	61.0	Ring of Shooting Stars	none			true
magic:arcana:very-rare:ring-of-telekinesis	Arcana	Very Rare	62.0	63.0	Ring of Telekinesis	none			true
magic:arcana:very-rare:robe-of-scintillating-colors	Arcana	Very Rare	64.0	65.0	Robe of Scintillating Colors	none			true
magic:arcana:very-rare:robe-of-stars	Arcana	Very Rare	66.0	67.0	Robe of Stars	none			true
magic:arcana:very-rare:rod-of-absorption	Arcana	Very Rare	68.0	69.0	Rod of Absorption	none			true
magic:arcana:very-rare:rod-of-security	Arcana	Very Rare	70.0	71.0	Rod of Security	none			true
magic:arcana:very-rare:rod-of-the-pact-keeper-3	Arcana	Very Rare	72.0	73.0	Rod of the Pact Keeper, +3	none			true
magic:arcana:very-rare:spell-scroll	Arcana	Very Rare	74.0	85.0	Spell Scroll	spell_level	6.0	8.0	true
magic:arcana:very-rare:staff-of-fire	Arcana	Very Rare	86.0	87.0	Staff of Fire	none			true
magic:arcana:very-rare:staff-of-frost	Arcana	Very Rare	88.0	89.0	Staff of Frost	none			true
magic:arcana:very-rare:staff-of-power	Arcana	Very Rare	90.0	90.0	Staff of Power	none			true
magic:arcana:very-rare:staff-of-thunder-and-lightning	Arcana	Very Rare	91.0	92.0	Staff of Thunder and Lightning	none			true
magic:arcana:very-rare:tome-of-clear-thought	Arcana	Very Rare	93.0	94.0	Tome of Clear Thought	none			true
magic:arcana:very-rare:wand-of-polymorph	Arcana	Very Rare	95.0	97.0	Wand of Polymorph	none			true
magic:arcana:very-rare:wand-of-the-war-mage-3	Arcana	Very Rare	98.0	100.0	Wand of the War Mage, +3	none			true
magic:arcana:legendary:apparatus-of-kwalish	Arcana	Legendary	1.0	4.0	Apparatus of Kwalish	none			true
magic:arcana:legendary:cloak-of-invisibility	Arcana	Legendary	5.0	8.0	Cloak of Invisibility	none			true
magic:arcana:legendary:crystal-ball-of-mind-reading	Arcana	Legendary	9.0	12.0	Crystal Ball of Mind Reading	none			true
magic:arcana:legendary:crystal-ball-of-telepathy	Arcana	Legendary	13.0	16.0	Crystal Ball of Telepathy	none			true
magic:arcana:legendary:crystal-ball-of-true-seeing	Arcana	Legendary	17.0	20.0	Crystal Ball of True Seeing	none			true
magic:arcana:legendary:cubic-gate	Arcana	Legendary	21.0	22.0	Cubic Gate	none			true
magic:arcana:legendary:deck-of-many-things	Arcana	Legendary	23.0	23.0	Deck of Many Things	none			true
magic:arcana:legendary:enspelled-staff	Arcana	Legendary	24.0	27.0	Enspelled Staff	enspelled_item	staff		true
magic:arcana:legendary:ioun-stone	Arcana	Legendary	28.0	31.0	Ioun Stone	variant_group	ioun_legendary		true
magic:arcana:legendary:iron-flask	Arcana	Legendary	32.0	33.0	Iron Flask	none			true
magic:arcana:legendary:potion-of-storm-giant-strength	Arcana	Legendary	34.0	41.0	Potion of Storm Giant Strength	fixed_variant	storm		true
magic:arcana:legendary:ring-of-djinni-summoning	Arcana	Legendary	42.0	45.0	Ring of Djinni Summoning	none			true
magic:arcana:legendary:ring-of-elemental-command	Arcana	Legendary	46.0	49.0	Ring of Elemental Command	variant_group	elemental_command		true
magic:arcana:legendary:ring-of-invisibility	Arcana	Legendary	50.0	53.0	Ring of Invisibility	none			true
magic:arcana:legendary:ring-of-spell-turning	Arcana	Legendary	54.0	57.0	Ring of Spell Turning	none			true
magic:arcana:legendary:ring-of-three-wishes	Arcana	Legendary	58.0	58.0	Ring of Three Wishes	none			true
magic:arcana:legendary:robe-of-the-archmagi	Arcana	Legendary	59.0	59.0	Robe of the Archmagi	none			true
magic:arcana:legendary:scroll-of-titan-summoning	Arcana	Legendary	60.0	61.0	Scroll of Titan Summoning	none			true
magic:arcana:legendary:sovereign-glue	Arcana	Legendary	62.0	65.0	Sovereign Glue	none			true
magic:arcana:legendary:spell-scroll	Arcana	Legendary	66.0	83.0	Spell Scroll	spell_level	9.0	9.0	true
magic:arcana:legendary:sphere-of-annihilation	Arcana	Legendary	84.0	84.0	Sphere of Annihilation	none			true
magic:arcana:legendary:staff-of-the-magi	Arcana	Legendary	85.0	85.0	Staff of the Magi	none			true
magic:arcana:legendary:talisman-of-the-sphere	Arcana	Legendary	86.0	88.0	Talisman of the Sphere	none			true
magic:arcana:legendary:tome-of-the-stilled-tongue	Arcana	Legendary	89.0	92.0	Tome of the Stilled Tongue	none			true
magic:arcana:legendary:universal-solvent	Arcana	Legendary	93.0	96.0	Universal Solvent	none			true
magic:arcana:legendary:well-of-many-worlds	Arcana	Legendary	97.0	100.0	Well of Many Worlds	none			true
magic:armaments:common:armor-of-gleaming	Armaments	Common	1.0	10.0	Armor of Gleaming	none			true
magic:armaments:common:cast-off-armor	Armaments	Common	11.0	20.0	Cast-Off Armor	none			true
magic:armaments:common:dread-helm	Armaments	Common	21.0	30.0	Dread Helm	none			true
magic:armaments:common:moon-touched-sword	Armaments	Common	31.0	40.0	Moon-Touched Sword	none			true
magic:armaments:common:shield-of-expression	Armaments	Common	41.0	50.0	Shield of Expression	none			true
magic:armaments:common:silvered-weapon	Armaments	Common	51.0	60.0	Silvered Weapon	none			true
magic:armaments:common:smoldering-armor	Armaments	Common	61.0	70.0	Smoldering Armor	none			true
magic:armaments:common:sylvan-talon	Armaments	Common	71.0	80.0	Sylvan Talon	none			true
magic:armaments:common:veteran-s-cane	Armaments	Common	81.0	90.0	Veteran’s Cane	none			true
magic:armaments:common:walloping-ammunition	Armaments	Common	91.0	100.0	Walloping Ammunition	none			true
magic:armaments:uncommon:adamantine-armor	Armaments	Uncommon	1.0	4.0	Adamantine Armor	none			true
magic:armaments:uncommon:adamantine-weapon	Armaments	Uncommon	5.0	8.0	Adamantine Weapon	none			true
magic:armaments:uncommon:ammunition-1	Armaments	Uncommon	9.0	13.0	Ammunition, +1	none			true
magic:armaments:uncommon:bracers-of-archery	Armaments	Uncommon	14.0	18.0	Bracers of Archery	none			true
magic:armaments:uncommon:enspelled-armor	Armaments	Uncommon	19.0	23.0	Enspelled Armor	enspelled_item	armor		true
magic:armaments:uncommon:enspelled-weapon	Armaments	Uncommon	24.0	28.0	Enspelled Weapon	enspelled_item	weapon		true
magic:armaments:uncommon:gauntlets-of-ogre-power	Armaments	Uncommon	29.0	33.0	Gauntlets of Ogre Power	none			true
magic:armaments:uncommon:javelin-of-lightning	Armaments	Uncommon	34.0	38.0	Javelin of Lightning	none			true
magic:armaments:uncommon:mariner-s-armor	Armaments	Uncommon	39.0	43.0	Mariner’s Armor	none			true
magic:armaments:uncommon:mithral-armor	Armaments	Uncommon	44.0	48.0	Mithral Armor	none			true
magic:armaments:uncommon:potion-of-giant-strength	Armaments	Uncommon	49.0	53.0	Potion of Giant Strength	fixed_variant	hill		true
magic:armaments:uncommon:potion-of-pugilism	Armaments	Uncommon	54.0	58.0	Potion of Pugilism	none			true
magic:armaments:uncommon:quiver-of-ehlonna	Armaments	Uncommon	59.0	62.0	Quiver of Ehlonna	none			true
magic:armaments:uncommon:saddle-of-the-cavalier	Armaments	Uncommon	63.0	66.0	Saddle of the Cavalier	none			true
magic:armaments:uncommon:sentinel-shield	Armaments	Uncommon	67.0	71.0	Sentinel Shield	none			true
magic:armaments:uncommon:shield-1	Armaments	Uncommon	72.0	76.0	Shield, +1	none			true
magic:armaments:uncommon:sword-of-vengeance	Armaments	Uncommon	77.0	81.0	Sword of Vengeance	none			true
magic:armaments:uncommon:trident-of-fish-command	Armaments	Uncommon	82.0	85.0	Trident of Fish Command	none			true
magic:armaments:uncommon:weapon-1	Armaments	Uncommon	86.0	90.0	Weapon, +1	none			true
magic:armaments:uncommon:weapon-of-warning	Armaments	Uncommon	91.0	95.0	Weapon of Warning	none			true
magic:armaments:uncommon:wraps-of-unarmed-power-1	Armaments	Uncommon	96.0	100.0	Wraps of Unarmed Power, +1	none			true
magic:armaments:rare:ammunition-2	Armaments	Rare	1.0	3.0	Ammunition, +2	none			true
magic:armaments:rare:armor-1	Armaments	Rare	4.0	7.0	Armor, +1	none			true
magic:armaments:rare:armor-of-resistance	Armaments	Rare	8.0	10.0	Armor of Resistance	none			true
magic:armaments:rare:armor-of-vulnerability	Armaments	Rare	11.0	13.0	Armor of Vulnerability	none			true
magic:armaments:rare:arrow-catching-shield	Armaments	Rare	14.0	15.0	Arrow-Catching Shield	none			true
magic:armaments:rare:belt-of-giant-strength	Armaments	Rare	16.0	18.0	Belt of Giant Strength	fixed_variant	hill		true
magic:armaments:rare:berserker-axe	Armaments	Rare	19.0	20.0	Berserker Axe	none			true
